claimH1,stances1,claimCount1,claimH2,stances2,claimCount2,claimH3,stances3,claimCount3
Charles Manson's fiance wanted to marry him to obtain custody of his corpse,(1) antiviral.gawker.com: observing observing observing observing observing<br/><br/>(2) blog.chron.com: for for observing observing observing<br/><br/>(3) blog.sfgate.com: for for for for observing<br/><br/>(4) nypost.com: for for for for observing<br/><br/>(5) www.aol.com: for observing observing observing observing<br/><br/>(6) www.breitbart.com: against for for for for<br/><br/>(7) www.calgarysun.com: for for for observing observing<br/><br/>(8) www.dailymail.co.uk: for for for for observing<br/><br/>(9) www.independent.co.uk: for for for for observing<br/><br/>(10) www.inquisitr.com: for for for for observing<br/><br/>(11) www.mirror.co.uk: for for for for observing<br/><br/>,160.0,Video shows a U.S. Marine surviving being shot in the helmet,(1) metro.co.uk: for for for for for<br/><br/>(2) news.nationalpost.com: for for for for for<br/><br/>(3) sploid.gizmodo.com: for for for observing observing<br/><br/>(4) www.buzzfeed.com: for for observing observing observing<br/><br/>(5) www.dailymail.co.uk: for for for observing observing<br/><br/>(6) www.deccanchronicle.com: for for for observing observing<br/><br/>(7) www.independent.co.uk: for for for observing observing<br/><br/>(8) www.mirror.co.uk: for for for for observing<br/><br/>(9) www.standard.co.uk: for for for for observing<br/><br/>(10) www.telegraph.co.uk: for for for observing observing<br/><br/>(11) www.thedailybeast.com: for for for for observing<br/><br/>(12) www.thedailystar.net: for for for observing<br/><br/>,161.0,The final Marines to leave the U.S. embassy in Yemen handed their weapons over to Houthi rebels,(1) fortressamerica.gawker.com: against against against against<br/><br/>(2) www.breitbart.com: for for observing observing<br/><br/>(3) www.cnn.com: for for for observing<br/><br/>(4) www.newsmax.com: for observing observing observing<br/><br/>(5) www.washingtontimes.com: against for for observing observing<br/><br/>,162.0
Mass grave found in Mexico holds bodies of missing students,(1) news.yahoo.com: observing observing observing observing observing<br/><br/>(2) time.com: for for observing observing observing<br/><br/>(3) www.bbc.com: against against against against against<br/><br/>(4) www.cnn.com: observing observing observing observing observing<br/><br/>(5) www.dailymail.co.uk: for for observing observing observing<br/><br/>(6) www.dailymail.co.uk: for for for observing observing<br/><br/>(7) www.dailymail.co.uk: against against against observing observing<br/><br/>(8) www.globalpost.com: for observing observing observing observing<br/><br/>(9) www.globalpost.com: against against against against against<br/><br/>(10) www.ibtimes.com: against against against against against<br/><br/>(11) www.latimes.com: observing observing observing observing observing<br/><br/>(12) www.latimes.com: against against against against observing<br/><br/>(13) www.latintimes.com: for for observing observing observing<br/><br/>(14) www.nbcnews.com: against against against against against<br/><br/>(15) www.npr.org: against against against against against<br/><br/>(16) www.npr.org: observing observing observing observing observing<br/><br/>(17) www.telegraph.co.uk: observing observing observing observing observing<br/><br/>(18) www.theatlantic.com: observing observing observing observing observing<br/><br/>(19) www.theglobeandmail.com: observing observing observing observing observing<br/><br/>(20) www.theguardian.com: against against against against against<br/><br/>(21) www.thetimes.co.uk: observing observing observing observing observing<br/><br/>,163.0,McDonald's will stop serving the Big Mac,(1) dailybuzzlive.com: against for for for observing<br/><br/>(2) notallowedto.com: for for for for observing<br/><br/>(3) www.theepochtimes.com: against against against against observing<br/><br/>,164.0,Two locations in the U.S. are still serving the original McDonald's pizza,(1) bgr.com: for for for for for<br/><br/>(2) journalmetro.com: against against against against against<br/><br/>(3) o.canada.com: for for for observing observing<br/><br/>(4) www.yahoo.com: for for for for for<br/><br/>(5) time.com: for for for for for<br/><br/>(6) www.grubstreet.com: for for for for observing<br/><br/>(7) www.thrillist.com: for for for observing observing<br/><br/>,165.0
A meteorite landed in Nicaragua.,(1) bigstory.ap.org: for for for for observing<br/><br/>(2) news.nationalgeographic.com: against against against against observing<br/><br/>(3) rt.com: for for observing observing observing<br/><br/>(4) time.com: for for for for observing<br/><br/>(5) tucson.com: against against against observing observing<br/><br/>(6) www.aljazeera.com: observing observing observing observing observing<br/><br/>(7) www.bbc.com: for for for for observing<br/><br/>(8) www.bbc.com: observing observing observing observing observing<br/><br/>(9) www.businessinsider.com: for for for for observing<br/><br/>(10) www.cnn.com: for for observing observing observing<br/><br/>(11) www.globalpost.com: observing observing observing observing observing<br/><br/>(12) www.independent.co.uk: for observing observing observing observing<br/><br/>(13) www.newsweek.com: for for for for observing<br/><br/>(14) www.npr.org: for for for for<br/><br/>(15) www.npr.org: against against against observing<br/><br/>(16) www.nytimes.com: for for for observing<br/><br/>(17) www.reuters.com: for observing observing observing<br/><br/>(18) www.slate.com: observing observing observing observing<br/><br/>(19) www.smh.com.au: for for for for for<br/><br/>(20) www.space.com: against against observing observing observing<br/><br/>(21) www.spacedaily.com: for observing observing observing observing<br/><br/>(22) www.telegraph.co.uk: for for for for for<br/><br/>(23) www.theguardian.com: for for for for observing<br/><br/>(24) www.theguardian.com: for observing observing observing observing<br/><br/>(25) www.theguardian.com: observing observing observing observing observing<br/><br/>(26) www.theweathernetwork.com: against against observing observing observing<br/><br/>(27) www.washingtonpost.com: for for observing observing observing<br/><br/>(28) www.weather.com: for for for observing observing<br/><br/>,166.0,Saudi TV blurred out Michelle Obama's uncovered face during a visit to the country,(1) twitter: against observing observing observing<br/><br/>(2) blogs.wsj.com: against against against against<br/><br/>(3) www.bloombergview.com: against against against observing<br/><br/>(4) www.freerepublic.com: for for for for<br/><br/>(5) www.inquisitr.com: for for observing observing<br/><br/>(6) www.mediaite.com: against against against observing<br/><br/>(7) www.motherjones.com: against against against observing<br/><br/>(8) www.washingtontimes.com: for for for for<br/><br/>,167.0,A cat that was hit by a car and believed dead dug himself out of his grave,(1) abc7.com: for for for for<br/><br/>(2) abcnews.go.com: for for for observing<br/><br/>(3) newsfeed.gawker.com: for for for for observing<br/><br/>(4) nypost.com: for for for for observing<br/><br/>(5) uproxx.com: for for for for observing<br/><br/>(6) www.chron.com: for for for for observing<br/><br/>(7) www.dailymail.co.uk: for for for for observing<br/><br/>(8) www.huffingtonpost.com: for for for observing observing<br/><br/>(9) www.inquisitr.com: for for for for for<br/><br/>(10) www.myfoxtampabay.com: for for for for observing<br/><br/>(11) www.nydailynews.com: for for for for for<br/><br/>,168.0
Three missing Afghan soldiers were found trying to enter Canada,(1) globalnews.ca: for for for for observing<br/><br/>(2) mashable.com: for for for for for<br/><br/>(3) www.ack.net: for for for for observing<br/><br/>(4) www.bbc.com: for for for for for<br/><br/>(5) www.boston.com: for for for observing observing<br/><br/>(6) www.capecodonline.com: for for for observing observing<br/><br/>(7) www.cbsnews.com: for for for for for<br/><br/>(8) www.dailymail.co.uk: against for for for for<br/><br/>(9) www.foxnews.com: for for for observing observing<br/><br/>(10) www.huffingtonpost.com: for for for for observing<br/><br/>(11) www.latimes.com: for for for for observing<br/><br/>(12) www.lowellsun.com: for for for for observing<br/><br/>(13) www.nbcnews.com: for for for for observing<br/><br/>(14) www.thedailybeast.com: for for for observing observing<br/><br/>(15) www.theguardian.com: for for for for observing<br/><br/>(16) www.usatoday.com: against for for for observing<br/><br/>(17) www.wcvb.com: for for for observing observing<br/><br/>(18) www.wyff4.com: for for for for observing<br/><br/>,169.0,"Mitt Romney said Michelle Obama should be called the First Woman, not the First Lady",(1) wafflesatnoon.com: for observing observing observing observing<br/><br/>(2) www.snopes.com: for observing observing observing observing<br/><br/>,170.0,Mob Strips Adulterous Woman,(1) www.dailymail.co.uk: for for for for observing<br/><br/>(2) www.mirror.co.uk: against for for for observing<br/><br/>,171.0
A Chinese mother attempted to sell her son to pay for his twin sister's lifesaving medical treatment,(1) viral4real.com: for for for observing observing<br/><br/>(2) www.carbonated.tv: for for for observing observing<br/><br/>(3) www.croatiantimes.com: for for for for observing<br/><br/>(4) www.dailymail.co.uk: for for for observing observing<br/><br/>(5) www.express.co.uk: for for for for for<br/><br/>(6) www.mirror.co.uk: for for for for observing<br/><br/>,172.0,A woman tried to eat her baby after giving birth,(1) austriantimes.at: for for for observing observing<br/><br/>(2) metro.co.uk: for for for for observing<br/><br/>(3) www.mirror.co.uk: for for for for observing<br/><br/>,173.0,Microsoft is going to acquire Mojang AB,(1) ca.ign.com: for for for for observing<br/><br/>(2) dealbook.nytimes.com: for for for for observing<br/><br/>(3) kotaku.com: for for for for observing<br/><br/>(4) online.wsj.com: for for for for observing<br/><br/>(5) mojang.com: for for observing observing observing<br/><br/>(6) www.cnbc.com: for for for observing observing<br/><br/>(7) www.engadget.com: for for for observing observing<br/><br/>(8) www.joystiq.com: for for observing observing observing<br/><br/>(9) www.reuters.com: for for for observing observing<br/><br/>(10) www.theverge.com: for for for observing observing<br/><br/>,174.0
A man got completely naked when passing through metal detectors at a Russian airport,(1) travel.aol.co.uk: for for for observing observing<br/><br/>(2) www.dailymail.co.uk: against for for for observing<br/><br/>(3) www.mirror.co.uk: for for for observing observing<br/><br/>(4) www.news.com.au: for for for observing observing<br/><br/>,175.0,The NHL will announce an expansion to Las Vegas in 2014,(1) slam.canoe.ca: for for observing observing observing<br/><br/>(2) sports.yahoo.com: observing observing observing observing observing<br/><br/>(3) www.cbc.ca: for for observing observing observing<br/><br/>(4) www.cbssports.com: for for observing observing observing<br/><br/>(5) www.foxsports.com: against against against observing observing<br/><br/>(6) www.freep.com: against observing observing observing observing<br/><br/>(7) www.huffingtonpost.ca: against for observing observing observing<br/><br/>(8) www.si.com: against against for observing observing<br/><br/>(9) www.sportingnews.com: for for observing observing observing<br/><br/>(10) www.sportsnet.ca: against against for observing observing<br/><br/>(11) www.theprovince.com: observing observing observing observing observing<br/><br/>(12) www.thescore.com: for for for for observing<br/><br/>,176.0,Image shows a group of Nigerian women armed with AK-47s who saved a town and school from Boko Haram,(1) africacheck.org: against against for observing observing<br/><br/>(2) countercurrentnews.com: for for for for observing<br/><br/>(3) www.premiumtimesng.com: against against for observing observing<br/><br/>,177.0
A 9 year old student sent a heartwarming letter to her teacher after he came out to the class,(1) ca.eonline.com: for for for for for<br/><br/>(2) metro.co.uk: for for for for observing<br/><br/>(3) www.dailymail.co.uk: for for for for for<br/><br/>(4) www.huffingtonpost.co.uk: for for for for for<br/><br/>(5) www.ibtimes.co.in: for for for for for<br/><br/>(6) www.independent.co.uk: for for for for observing<br/><br/>(7) www.mirror.co.uk: for for for observing observing<br/><br/>(8) www.pinknews.co.uk: for for for observing observing<br/><br/>,178.0,The son of a North Korean is on the run in France,(1) www.businessinsider.com: for for for observing observing<br/><br/>(2) www.dailymail.co.uk: against for for for observing<br/><br/>(3) www.telegraph.co.uk: for for for for observing<br/><br/>,179.0,North Korea plans to open a restaurant in Scotland,(1) mashable.com: against against against observing observing<br/><br/>(2) metro.co.uk: for for for for observing<br/><br/>(3) munchies.vice.com: observing observing observing observing observing<br/><br/>(4) www.cnbc.com: observing observing observing observing observing<br/><br/>(5) www.dailymail.co.uk: for for for for observing<br/><br/>(6) www.dailyrecord.co.uk: against for for observing observing<br/><br/>(7) www.dailystar.co.uk: against against for for observing<br/><br/>(8) www.dnaindia.com: against for for for observing<br/><br/>(9) www.heraldscotland.com: for observing observing observing observing<br/><br/>(10) www.huffingtonpost.com: against against against for observing<br/><br/>(11) www.ibtimes.co.in: observing observing observing observing observing<br/><br/>(12) www.independent.co.uk: against against against for observing<br/><br/>(13) www.mirror.co.uk: for for for for for<br/><br/>(14) www.scotsman.com: for for observing observing observing<br/><br/>,180.0
Popular Christmas toy Elf On The Shelf is an espionage project run by the National Security Agency,(1) www.duffelblog.com: for for for for observing<br/><br/>,181.0,"New York Police will start issuing tickets, rather than make arrests, for small amounts of marijuana",(1) cir.ca: for for for observing observing<br/><br/>(2) mashable.com: for for for for observing<br/><br/>(3) nymag.com: for for for for observing<br/><br/>(4) nypost.com: for for for for observing<br/><br/>(5) nypost.com: for for for for observing<br/><br/>(6) time.com: for for for for observing<br/><br/>(7) www.bloomberg.com: for for for for for<br/><br/>(8) www.buzzfeed.com: for for for for for<br/><br/>(9) www.cnn.com: for for for for observing<br/><br/>(10) www.ibtimes.com: for for observing observing observing<br/><br/>(11) www.independent.co.uk: for for for for for<br/><br/>(12) www.nydailynews.com: for for for for for<br/><br/>(13) www.nytimes.com: for for for for for<br/><br/>(14) www.slate.com: for for for for for<br/><br/>(15) www.usatoday.com: for for for observing observing<br/><br/>,182.0,An oil pipeline exploded in Saudi Arabia,(1) oilpro.com: for for for for for<br/><br/>(2) online.wsj.com: for observing observing observing observing<br/><br/>(3) uk.reuters.com: observing observing observing observing observing<br/><br/>(4) www.benzinga.com: observing observing observing observing observing<br/><br/>(5) www.cnbc.com: for for for for observing<br/><br/>(6) www.forexlive.com: for for for for for<br/><br/>(7) www.forexlive.com: for observing observing observing observing<br/><br/>(8) www.streetinsider.com: for for observing observing observing<br/><br/>(9) www.telegraph.co.uk: for for observing observing observing<br/><br/>(10) www.trust.org: against for observing observing observing<br/><br/>(11) www.zerohedge.com: against for for for for<br/><br/>,183.0
Loggers cut down the world's oldest tree,(1) metro.co.uk: against for for observing observing<br/><br/>(2) worldnewsdailyreport.com: for for for observing observing<br/><br/>(3) www.hoax-slayer.com: against against for observing observing<br/><br/>(4) www.independent.co.uk: against against against observing observing<br/><br/>,184.0,Paul Rudd helped take down the Dallas airport homophobe,(1) frontburner.dmagazine.com: against for for for observing<br/><br/>(2) jezebel.com: for observing observing observing observing<br/><br/>(3) time.com: against against against for observing<br/><br/>(4) wonkette.com: against against against for observing<br/><br/>(5) www.hollywoodreporter.com: against against against for observing<br/><br/>(6) www.mediaite.com: observing observing observing observing observing<br/><br/>(7) www.mtv.com: for for for observing observing<br/><br/>,185.0,A 17-year-old poured acid her boyfriend's genitals after their sex tape went viral,(1) ca.complex.com: for for for for observing<br/><br/>(2) metro.co.uk: for for for for for<br/><br/>(3) pulse.ng: for for for for for<br/><br/>(4) www.cosmopolitan.com: for for for for observing<br/><br/>(5) www.inquisitr.com: for for for for observing<br/><br/>(6) www.timeslive.co.za: for for for for observing<br/><br/>(7) www.timeslive.co.za: against for for for observing<br/><br/>,186.0
A Chinese man's penis was stolen by thieves,(1) austriantimes.at: against against observing observing observing<br/><br/>(2) www.dailymail.co.uk: against for for for for<br/><br/>(3) www.huffingtonpost.com: for for for for observing<br/><br/>(4) www.ibtimes.com: for for for for observing<br/><br/>,187.0,A Video shows sexist Peruvian men being tricked into harassing their own mothers,(1) antiviral.gawker.com: against against for observing observing<br/><br/>(2) boingboing.net: against for for observing observing<br/><br/>(3) ca.eonline.com: for for for for observing<br/><br/>(4) m.fastcocreate.com: for for for for observing<br/><br/>(5) time.com: for for for for observing<br/><br/>(6) usvsth3m.com: for for for observing observing<br/><br/>(7) verne.elpais.com: for for observing observing observing<br/><br/>(8) www.addictinginfo.org: for for for for observing<br/><br/>(9) www.buzzfeed.com: for for observing observing observing<br/><br/>(10) www.dailymail.co.uk: for for for for for<br/><br/>(11) www.huffingtonpost.com: for for for for for<br/><br/>(12) www.ibtimes.co.in: for for for for for<br/><br/>(13) www.metaspoon.com: for for for observing observing<br/><br/>(14) www.styleite.com: for for for observing observing<br/><br/>,188.0,The female UAE pilot bombing ISIS was disowned by her family,(1) www.dailymail.co.uk: for for for for for<br/><br/>(2) www.elwatannews.com: for observing observing observing observing<br/><br/>(3) www.inquisitr.com: for for for for for<br/><br/>,189.0
"A Michigan pizza delivery guy received a 2,084 tip",(1) wgntv.com: for for for for for<br/><br/>(2) www.buzzfeed.com: for for for for for<br/><br/>(3) www.firstpost.com: for for for for for<br/><br/>(4) www.freep.com: against for for for observing<br/><br/>(5) www.torontosun.com: for for for for for<br/><br/>(6) www.wzzm13.com: for observing observing observing observing<br/><br/>,190.0,"A unique planetary alignment on Jan. 4, 2015 will cause partial weightlessness on earth",(1) beforeitsnews.com: against for for for observing<br/><br/>(2) dailybuzzlive.com: for for for for observing<br/><br/>(3) gawker.com: against against against against for<br/><br/>(4) www.slate.com: against against against against observing<br/><br/>(5) www.theepochtimes.com: against against for observing observing<br/><br/>,191.0,A mechanical polar bear in the U.K. was threatened with an Anti-Social Behaviour Order ASBO,(1) i100.independent.co.uk: against against against observing observing<br/><br/>(2) metro.co.uk: against for for for observing<br/><br/>(3) www.bedfordshire-news.co.uk: against against for observing observing<br/><br/>(4) www.communicationsjournal.co.uk: against for for for observing<br/><br/>,192.0
Pope Francis told a boy whose dog had died that Paradise is open to all of God's creatures,(1) ca.eonline.com: for for for for observing<br/><br/>(2) latino.foxnews.com: for for for for for<br/><br/>(3) www.cbc.ca: against against against against observing<br/><br/>(4) www.cbc.ca: for for for for for<br/><br/>(5) www.chicagotribune.com: against against against for observing<br/><br/>(6) www.dailymail.co.uk: for for for for for<br/><br/>(7) www.nydailynews.com: for for for for observing<br/><br/>(8) www.omaha.com: for for for for for<br/><br/>(9) www.religionnews.com: against against against against observing<br/><br/>(10) www.theglobeandmail.com: for observing observing observing observing<br/><br/>(11) www.todayonline.com: for for for for for<br/><br/>,193.0,Apple will open a pop-up Apple Watch store in London's Selfridges department store,(1) 9to5mac.com: against for for observing observing<br/><br/>(2) 9to5mac.com: for observing observing observing observing<br/><br/>(3) www.macrumors.com: for for for for for<br/><br/>,194.0,"A predator drone was sighted over Raqqa, Syria",(1) abcnews.go.com: against for observing observing observing<br/><br/>(2) news.nationalpost.com: for for for observing observing<br/><br/>(3) bellingcat.com: for for observing observing observing<br/><br/>(4) medium.com: for for for observing observing<br/><br/>(5) www.breitbart.com: for for for observing observing<br/><br/>(6) www.businessinsider.com: for for observing observing observing<br/><br/>(7) www.catholic.org: for for for for observing<br/><br/>(8) www.ibtimes.co.in: for for for for observing<br/><br/>(9) www.inquisitr.com: for for for observing observing<br/><br/>(10) www.nzherald.co.nz: for for for for observing<br/><br/>(11) www.telegraph.co.uk: for for for for observing<br/><br/>(12) www.thebureauinvestigates.com: observing observing observing observing observing<br/><br/>,195.0
A Catholic priest who was declared clinically dead says he met God and she's a woman,(1) indiatoday.intoday.in: for for for for for<br/><br/>(2) kvil.cbslocal.com: for for for for for<br/><br/>(3) metro.co.uk: for for for for for<br/><br/>(4) netloid.com: for for for for for<br/><br/>(5) newsafricanow.com: against for for observing observing<br/><br/>(6) pulse.ng: against for for observing observing<br/><br/>(7) thenet.ng: against for for observing observing<br/><br/>(8) urbanlegends.about.com: against against against for observing<br/><br/>(9) www.20minutes.fr: against for observing observing observing<br/><br/>(10) www.digitaljournal.com: against against against against observing<br/><br/>(11) www.inquisitr.com: for for for observing observing<br/><br/>(12) www.monitor.co.ug: for observing observing observing observing<br/><br/>(13) www.patheos.com: against against against against observing<br/><br/>(14) www.spyghana.com: for for observing observing observing<br/><br/>(15) www.starrfmonline.com: for for for observing observing<br/><br/>(16) www.stuff.co.nz: against against against against observing<br/><br/>(17) www.theblaze.com: against against against against against<br/><br/>,196.0,Joan Rivers doctor took a selfie during her operation,(1) ca.complex.com: against for observing observing observing<br/><br/>(2) gawker.com: against for for observing observing<br/><br/>(3) jacksonville.com: against for for observing observing<br/><br/>(4) mashable.com: for for observing observing observing<br/><br/>(5) pagesix.com: for for observing observing observing<br/><br/>(6) perezhilton.com: for observing observing observing observing<br/><br/>(7) radaronline.com: for for for observing observing<br/><br/>(8) radaronline.com: for for observing observing observing<br/><br/>(9) uproxx.com: observing observing observing observing observing<br/><br/>(10) www.businessinsider.com: for for for for observing<br/><br/>(11) www.cnn.com: for for for observing observing<br/><br/>(12) www.cnn.com: against against against observing observing<br/><br/>(13) www.dailymail.co.uk: for for for for observing<br/><br/>(14) www.dailymail.co.uk: against against against observing observing<br/><br/>(15) www.dispatch.com: for for for observing observing<br/><br/>(16) www.hindustantimes.com: for for for observing observing<br/><br/>(17) www.hollywoodreporter.com: for for for observing observing<br/><br/>(18) www.independent.ie: against against against against observing<br/><br/>(19) www.inquisitr.com: for for observing observing observing<br/><br/>(20) www.justjared.com: for for for observing observing<br/><br/>(21) www.kcra.com: for observing observing observing observing<br/><br/>(22) www.latimes.com: for observing observing observing observing<br/><br/>(23) www.mediaite.com: against for observing observing observing<br/><br/>(24) www.mirror.co.uk: for for for observing observing<br/><br/>(25) www.mirror.co.uk: against against for observing observing<br/><br/>(26) www.news.com.au: against for for observing observing<br/><br/>(27) www.nydailynews.com: against observing observing observing observing<br/><br/>(28) www.smh.com.au: against for for for observing<br/><br/>(29) www.thedailybeast.com: against against against against observing<br/><br/>(30) www.thewrap.com: against for observing observing observing<br/><br/>(31) www.usmagazine.com: against for for for observing<br/><br/>(32) www.vulture.com: against against against against observing<br/><br/>(33) www.vulture.com: observing observing observing observing observing<br/><br/>(34) www.washingtonpost.com: for for for for observing<br/><br/>(35) www.washingtonpost.com: against against observing observing observing<br/><br/>(36) www.wptz.com: for observing observing observing observing<br/><br/>,197.0,Robot security guards are patrolling a Microsoft campus in Silicon Valley,(1) www.bizjournals.com: against against against against observing<br/><br/>(2) www.businessinsider.com: for for observing observing observing<br/><br/>(3) www.cbc.ca: for for observing observing observing<br/><br/>(4) www.ibtimes.co.uk: for observing observing observing observing<br/><br/>(5) www.networkworld.com: for observing observing observing observing<br/><br/>(6) www.pcworld.com: for observing observing observing observing<br/><br/>(7) www.slate.com: for for for for observing<br/><br/>(8) www.techtimes.com: for for for for observing<br/><br/>,198.0
Samsung will supply application processors for Apple Watch,(1) www.gforgames.com: for observing observing observing observing<br/><br/>(2) www.macrumors.com: for observing observing observing observing<br/><br/>,199.0,Two office workers in an epic battle over a stolen sandwich,(1) antiviral.gawker.com: against against for observing observing<br/><br/>(2) www.collegehumor.com: for observing observing observing observing<br/><br/>(3) www.dailymail.co.uk: for for for for observing<br/><br/>(4) www.mirror.co.uk: for for for for observing<br/><br/>(5) www.myfoxchicago.com: against for for for observing<br/><br/>(6) www.news.com.au: for for for observing observing<br/><br/>,200.0,A Saudi cleric declared that snowmen are anti-Islamic,(1) english.alarabiya.net: for for for observing observing<br/><br/>(2) gulfnews.com: for for observing observing observing<br/><br/>(3) www.chathamdailynews.ca: for for for observing observing<br/><br/>(4) www.inquisitr.com: for for for observing observing<br/><br/>(5) www.itv.com: for for for observing observing<br/><br/>(6) www.ndtv.com: for for for observing observing<br/><br/>(7) www.reuters.com: for for observing observing observing<br/><br/>(8) www.telegraph.co.uk: against for for observing observing<br/><br/>(9) www.theguardian.com: against for for observing observing<br/><br/>(10) www.washingtontimes.com: for for for observing observing<br/><br/>,201.0
An Alaska Airlines plane was delayed when a scorpion stung a woman onboard,(1) espn.go.com: for for for observing observing<br/><br/>(2) jezebel.com: for observing observing observing observing<br/><br/>(3) seattle.cbslocal.com: for for observing observing observing<br/><br/>(4) www.huffingtonpost.com: for for observing observing observing<br/><br/>(5) www.latimes.com: against for for observing observing<br/><br/>(6) www.telegraph.co.uk: for for observing observing observing<br/><br/>(7) www.usatoday.com: for for for observing observing<br/><br/>,202.0,An Arizona boy was charged with self-rape after his mother caught him masturbating,(1) nationalreport.net: for for observing observing observing<br/><br/>,203.0,Seth Rogen will play Steve Wozniak in a film about Steve Jobs,(1) 9to5mac.com: for for for observing observing<br/><br/>(2) appleinsider.com: for for for observing observing<br/><br/>(3) gizmodo.com: for for for observing observing<br/><br/>(4) mashable.com: for observing observing observing observing<br/><br/>(5) thenextweb.com: observing observing observing observing observing<br/><br/>(6) variety.com: for for for observing observing<br/><br/>(7) www.businessinsider.com: against for for for observing<br/><br/>(8) www.cultofmac.com: for for for observing observing<br/><br/>(9) www.dailymail.co.uk: for for for observing observing<br/><br/>(10) www.hollywoodreporter.com: for observing observing observing observing<br/><br/>(11) www.macrumors.com: for for for observing observing<br/><br/>(12) www.pcmag.com: for for observing observing observing<br/><br/>(13) www.thedailybeast.com: for for for observing observing<br/><br/>(14) www.theguardian.com: for for observing observing observing<br/><br/>(15) www.theverge.com: against for observing observing observing<br/><br/>(16) www.thewrap.com: against for for observing observing<br/><br/>,204.0
There's an audio recording of the Michael Brown shooting,(1) ca.complex.com: for for for observing observing<br/><br/>(2) dailycaller.com: against against for observing observing<br/><br/>(3) fox2now.com: observing observing observing observing observing<br/><br/>(4) gawker.com: observing observing observing observing observing<br/><br/>(5) hotair.com: observing observing observing observing observing<br/><br/>(6) ktla.com: against for for for for<br/><br/>(7) mashable.com: against for observing observing observing<br/><br/>(8) news.yahoo.com: against against observing observing observing<br/><br/>(9) news.yahoo.com: observing observing observing observing observing<br/><br/>(10) nymag.com: against observing observing observing observing<br/><br/>(11) q13fox.com: against observing observing observing observing<br/><br/>(12) radaronline.com: against for observing observing observing<br/><br/>(13) stlouis.cbslocal.com: observing observing observing observing observing<br/><br/>(14) talkingpointsmemo.com: for observing observing observing observing<br/><br/>(15) www.cnn.com: for for for observing observing<br/><br/>(16) www.cnn.com: for observing observing observing observing<br/><br/>(17) www.dailykos.com: against for observing observing observing<br/><br/>(18) www.dailymail.co.uk: against for for for observing<br/><br/>(19) www.dailymail.co.uk: against for for for for<br/><br/>(20) www.fastcompany.com: against for for for observing<br/><br/>(21) www.huffingtonpost.com: against observing observing observing observing<br/><br/>(22) www.mediabistro.com: against observing observing observing observing<br/><br/>(23) www.mediaite.com: against for for observing observing<br/><br/>(24) www.mediaite.com: against observing observing observing observing<br/><br/>(25) www.msnbc.com: against for for for observing<br/><br/>(26) www.nbcnews.com: against observing observing observing observing<br/><br/>(27) www.nydailynews.com: against for for observing observing<br/><br/>(28) www.politico.com: against observing observing observing observing<br/><br/>(29) www.salon.com: for for for observing observing<br/><br/>(30) www.slate.com: for observing observing observing observing<br/><br/>(31) www.smh.com.au: for observing observing observing observing<br/><br/>(32) www.theblaze.com: observing observing observing observing observing<br/><br/>(33) www.theroot.com: for for observing observing observing<br/><br/>(34) www.thewire.com: observing observing observing observing observing<br/><br/>(35) www.usatoday.com: for observing observing observing observing<br/><br/>(36) www.washingtonpost.com: for observing observing observing observing<br/><br/>(37) www.washingtonpost.com: against for for observing observing<br/><br/>,205.0,Earth will experience six days of darkness in December,(1) huzlers.com: for for for for observing<br/><br/>(2) timesofindia.indiatimes.com: against against against against observing<br/><br/>(3) www.huffingtonpost.co.uk: against against against against observing<br/><br/>(4) www.ibtimes.co.uk: against against against observing observing<br/><br/>(5) www.independent.co.uk: against against against against observing<br/><br/>(6) www.techtimes.com: against against against against observing<br/><br/>(7) www.theepochtimes.com: against against against against observing<br/><br/>,206.0,"A soldier was shot at the War Memorial in Ottawa, Canada",(1) globalnews.ca: for for for observing observing<br/><br/>(2) ottawacitizen.com: for for for observing observing<br/><br/>(3) www.570news.com: against for observing observing observing<br/><br/>(4) www.cbc.ca: against for for observing observing<br/><br/>(5) www.ctvnews.ca: against for for for observing<br/><br/>(6) www.express.co.uk: against for for for observing<br/><br/>(7) www.huffingtonpost.com: against for for for observing<br/><br/>(8) www.ibtimes.co.uk: for for for observing observing<br/><br/>(9) www.itv.com: for for observing observing observing<br/><br/>(10) www.news.com.au: for for for for observing<br/><br/>(11) www.npr.org: for for for for observing<br/><br/>(12) www.nydailynews.com: for for for for observing<br/><br/>(13) www.reuters.com: for observing observing observing observing<br/><br/>(14) www.theglobeandmail.com: against for for for observing<br/><br/>,207.0
